id,osm_id,name,category,lat,lon,geom,region,last_osm_update,last_user_update,created_at
f047567e-ce39-4c04-8d9e-d9225eb5ee43,56908436,Steinerhof,pub,47.6562,8.85546,0101000020E6100000841266DAFEB521404ED1915CFED34740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
e03f6792-b9fd-4a6a-b102-47f65ade9a2f,57370928,Metzg,restaurant,47.2453596,8.7260424,0101000020E6100000CA0457D4BB7321403CE180F1679F4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
e3cfc5b4-6943-4809-85af-94c0a49c4168,57558761,Chämistube,restaurant,46.9492366,8.994013,0101000020E610000003999D45EFFC21404795BC9580794740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
c2c8c70d-79f8-44db-82c0-17968d0ad567,57558764,Cristal,restaurant,46.9388171,8.990731,0101000020E61000004A44F81741FB214079B6A2282B784740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
dcb11b59-bac9-4205-93df-94b0768ff015,57558768,Uhu,restaurant,46.9382318,8.9890883,0101000020E610000065B61AC869FA21409A88C8FA17784740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
177fbf0f-8431-4ca5-a88c-292de8261235,57558824,Adrenalin,hostel,46.9394042,8.9995546,0101000020E6100000FA21DB9EC5FF2140CE5C96653E784740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
eb5bef83-21a2-4c75-8ac9-34e619c5969d,59185470,AVIA,fuel,47.2376219,8.7276971,0101000020E6100000C0C9DBB6947421401DA8F8646A9E4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
7b71ca52-1b37-4e1a-83cb-f62a82cf89c4,59624426,Landgasthof Adler,restaurant,47.276489,8.756607,0101000020E61000006FD921FE61832140145AD6FD63A34740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
2e5b5ec3-f8d5-47d3-96ad-541a32a1c226,60034667,Zürcher Kantonalbank,bank,47.2404404,8.720257,0101000020E61000001E6E8786C57021408E5143C0C69E4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
b4f79768-70fe-47ea-8ebe-91a866a14324,60034669,Raiffeisen,bank,47.2400507,8.7223252,0101000020E61000004027CE9BD4712140E2F038FBB99E4740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
920b9778-42eb-449f-afe1-e1940db8f196,60228711,Hochwacht,restaurant,47.2899242,8.6756256,0101000020E610000046AE4099EB592140D4A8763C1CA54740,switzerland,2025-04-30 11:03:11.981737+00,,2025-04-30 11:03:11.981737+00
