place_id,accessibility,door_width,room_maneuver,grab_rails,sink,toilet_seat,emergency_alarm,euro_key,user_modified
a260dbc4-4f12-412c-903e-85e1fe7c609c,,,,,,,,,f
0c1bdb79-4c52-48a7-892e-a8046ee48db3,,,,,,,,,f
49a7b8fe-421b-49b7-83b7-358eb71e7920,,,,,,,,,f
bdf945b6-8a6f-46e2-9625-27d3f3681c71,,,,,,,,,f
33abb655-d2ee-4f73-bccc-12006a50a30c,,,,,,,,,f
457ccf5a-759c-4a74-94a3-67acc2b5dcc7,,,,,,,,,f
abf0c3ed-fd51-48a1-b5c8-342946c00132,,,,,,,,,f
4d1a427a-0f60-4ad0-985d-e04358b6be68,,,,,,,,,f
1d498bf6-7b5b-44d4-ba5a-dc4cc32db84c,,,,,,,,,f
b120f391-9190-4770-a68a-320111c3865c,,,,,,,,,f
0c452c8a-a39b-4825-946c-a87f55e55488,,,,,,,,,f
9007ab4c-66e6-4af8-8c5c-0a8ae25097d8,,,,,,,,,f
2f04692a-8756-4eae-9c30-381d80324e79,,,,,,,,,f
4a24d3c0-d519-4ebd-8176-cd1c4e68a0bf,,,,,,,,,f
880fb98b-a47a-40ed-a150-d78ad3d1aacf,,,,,,,,,f
b001a193-15ef-46ba-8a6d-4856ffaf151b,,,,,,,,,f
cc0c1c38-d577-43f0-ad3f-a484fd911422,,,,,,,,,f
3457876f-6cbc-4a25-9ddb-2b78aaa8bc04,,,,,,,,,f
7e4fc33a-a134-4861-99ac-2e43ec0e1768,,,,,,,,,f
523675ef-dad7-423e-a00e-ef1cd3a80662,,,,,,,,,f
3224b5e5-81a1-4747-a662-50590dc7af36,,,,,,,,,f
ca9655f2-0517-42d6-93a6-4d5393733632,,,,,,,,,f
ae9d76be-06ff-4c62-a724-d132bb4bf453,,,,,,,,,f
6a184c17-5d2b-4503-a272-d9544cd55721,,,,,,,,,f
b7f54411-d4f5-4a4c-8405-13314eadcc38,,,,,,,,,f
84c0822e-ef8a-44ae-ae32-0a0e752f3f65,,,,,,,,,f
ac096b66-51b1-4583-9d5e-1ab9279048ca,,,,,,,,,f
b6303b94-1328-47b3-b382-9232188e443f,,,,,,,,,f
7d286c1b-76c4-4302-8b87-f7711e1a8457,,,,,,,,,f
4beda58f-3259-443b-8f44-1e75938fcbdc,,,,,,,,,f
4fa42e49-ddb7-4cd9-b076-ff396c6de508,,,,,,,,,f
1f654229-857a-4a48-a347-440040f78029,,,,,,,,,f
d344dc45-f36d-4769-9785-85f4c8fb6c74,,,,,,,,,f
3bf910ad-7891-4e06-9b7a-d7803e0fc3e0,,,,,,,,,f
f309c916-2279-4c06-963a-9c612ca9b378,,,,,,,,,f
091846e8-724f-4d63-a7f8-5f80b6bc408e,,,,,,,,,f
2dfd9c71-6866-4d2a-a4f7-6ab9429af5a7,,,,,,,,,f
1d7c4354-3cd0-4d0e-b3e6-45b28fb72285,,,,,,,,,f
55a866ee-10b2-4c99-adf7-872f00f25ca6,,,,,,,,,f
22b36145-98c4-43e0-9a3e-eac35c7b0641,,,,,,,,,f
458d650d-b341-41ce-b573-a67b2cd014fc,,,,,,,,,f
1f1728e0-5a60-4d1c-8b7d-a8a3703fa84c,,,,,,,,,f
1f671a43-4387-40af-98f1-0c1caa6400c0,,,,,,,,,f
af64b5a0-8c49-46e7-a4d0-c2785ca0988f,,,,,,,,,f
3c0016c3-8190-4aaa-924b-81e2dbe99ee3,,,,,,,,,f
a6ee365f-f28e-41e1-b877-8ae446e36991,,,,,,,,,f
119e575a-d8c8-4d0f-a6ba-7b39f03b47a0,,,,,,,,,f
352a4578-534b-45a5-a61f-d758090f2bcb,,,,,,,,,f
ebfe3ecd-0adb-4a72-bdf5-6ba2b64ceb35,,,,,,,,,f
dfa3830a-7882-4c52-a498-ea6a244e7dd7,,,,,,,,,f
30aabe3f-0704-4460-bf20-9f8b0d6560fc,,,,,,,,,f
8ec31b34-41cf-41be-9498-f92b636b2ef6,,,,,,,,,f
290449dd-9848-4c7f-a2ff-67a72df83766,,,,,,,,,f
ac3a8b05-acb1-46bc-96c2-9cd8a0cfac40,,,,,,,,,f
d2c62dcf-fd13-4091-b328-12172e03e515,,,,,,,,,f
562aa165-c709-486f-826e-52e120256945,,,,,,,,,f
2b4b0ac4-b8a9-49a7-b126-25d5963bb352,,,,,,,,,f
7d99336e-ba3e-4ccd-8d8c-853d20e8b926,,,,,,,,,f
cd43040c-3d2c-4d39-aabc-8a06db69217a,,,,,,,,,f
2bc697f3-d6fe-46a2-be70-1c11d9f3ffb0,,,,,,,,,f
43660715-e038-45bb-bceb-1169b62e6984,,,,,,,,,f
