place_id,accessibility,step_count,step_height,ramp,lift,entrance_width,door_type,user_modified
22f6daf4-c831-4d70-9691-da2edcaca407,,,,,,,,f
3df305f9-9cb4-438c-b6d6-88e72e516e54,,,,,,,,f
a4001491-e3ec-4849-9738-90dc452183cd,,,,,,,,f
4c31e0e6-7117-4a8d-81b7-344b43d40463,,,,,,,,f
80051286-e513-4da7-8c49-5d069292cc9b,,,,,,,,f
55e43c39-e0c4-489b-83c1-f44e44411e08,,,,,,,,f
22662ebd-72f8-43dd-acc0-d79804cfc4b9,,,,,,,,f
5ed201f4-10b6-4634-8cf6-95c3c1b23a54,,,,,,,,f
6e3827cb-4900-4167-8ced-b9329b087d20,,,,,,,,f
58ab31b1-9ce2-4d08-9b77-d23603752c44,,,,,,,,f
09108956-8f86-4109-b1f0-61985cbe0c77,,,,,,,,f
459d401e-9d27-4b01-b511-180e4f1e5f5a,,,,,,,,f
e6c3d6a7-435a-40f5-b1fa-70e65282512a,,,,,,,,f
9fd25be4-ad0a-4799-b05d-31a59f09fcd9,,,,,,,,f
6c711557-5064-428c-ac55-5bb3022f4665,,,,,,,,f
09950356-c793-45c8-bf38-8d7aa6740232,,,,,,,,f
90b74c68-034a-4a6c-a375-7f8c7a4f511d,,,,,,,,f
a684f253-4943-4e0b-ab3e-2438268cda74,,,,,,,,f
84d92c05-58db-403f-8dea-5c5a132ee90a,,,,,,,,f
54d76a5c-b551-44bb-9b63-c9fa7ef1a98b,,,,,,,,f
e6da43bd-e5c6-4ad2-9d9e-2170c3d1a5ab,,,,,,,,f
9b505620-69ac-4c93-977b-1ae1f3edf786,,,,,,,,f
4f0a4548-f6ce-434b-aa6a-b00d2c624f56,,,,,,,,f
4143ae1a-20ad-43ed-bfe5-eb85fda7296c,,,,,,,,f
9425c905-17f7-4cd0-94e5-92c78814c779,,,,,,,,f
23444da9-bdb7-4c8b-babc-9c5a07b1acd0,,,,,,,,f
6a950a70-e7bb-4372-a4a3-c3fa924022e7,,,,,,,,f
da2fde17-a501-4a35-b5d4-c13cde1efd34,,,,,,,,f
079284d1-96bb-464e-8984-7249d56478bf,,,,,,,,f
3b73a7b5-0491-42c2-b4c6-8a4fc5a546a0,,,,,,,,f
a48e64a8-4b6d-4538-891d-98350388c008,,,,,,,,f
e10931b6-04ad-4b8e-a90a-336422b100a4,,,,,,,,f
7ab500d4-b4cd-4a2a-a2b4-e40e43a4fec2,,,,,,,,f
6645cbce-f30e-4b28-8883-58ec650acb92,,,,,,,,f
49264fa8-1cf0-4f2e-8bdb-e7071b45b9e2,,,,,,,,f
4c9b680c-99af-4e8a-8172-3e04a8bff292,,,,,,,,f
20e0ef14-18d3-484c-92b2-66048a4540b3,,,,,,,,f
1e8c9b5a-96b7-4ac5-a182-e57f5a904194,,,,,,,,f
57350cf8-329d-4afb-acad-9419d4987ab3,,,,,,,,f
aa41d8ae-e95f-4666-9aaa-05b3d45331d8,,,,,,,,f
9421d5e6-6c12-40d8-8304-cb25d4e8df22,,,,,,,,f
980362d4-4293-4002-ba8c-d449ab9ca06f,,,,,,,,f
ac39ef4e-be5e-4fee-b03a-7a510be9dd1a,,,,,,,,f
10b3af6b-2f70-454d-8941-089e4380096b,,,,,,,,f
c107239a-2d8d-450a-bfbb-d97c8cc32ddf,,,,,,,,f
1bac1b75-b19b-4d7a-b682-edb610066dac,,,,,,,,f
0eebb627-aab9-4794-9de8-bfedb4b40801,,,,,,,,f
2ba55052-aad7-4b18-b331-aebbb62c84fe,,,,,,,,f
876c0743-c23e-48fb-b365-d9c6c7ce0c11,,,,,,,,f
42fa0eca-e7ad-4595-a5c4-5b4d070a8cc5,,,,,,,,f
79b5a627-3f5c-4081-abe0-d07c9078352c,,,,,,,,f
0681c0f9-2198-4acf-a01b-9ffe44aa4dda,,,,,,,,f
b1df83ca-40a3-487c-b24f-a2600507660b,,,,,,,,f
ffcb870b-6fee-4bda-a1f8-a7e72d129358,,,,,,,,f
47b68c3d-a485-424f-96e5-3532bf4fe704,,,,,,,,f
81037d0c-fa2a-4a2e-a804-9892c3637e7f,,,,,,,,f
801eb178-10c2-4261-bf2b-2436a76b4be3,,,,,,,,f
26a6b364-fcfa-4145-9ade-0509556c109d,,,,,,,,f
304e14cc-82f2-4e27-9553-7b50978cc5f7,,,,,,,,f
f0ddd0f5-7f4f-4a71-b0fe-208e48ecc98e,,,,,,,,f
356cf490-f7a5-447b-ac82-c67db13064c3,,,,,,,,f
743a640c-6a6a-47e9-b16c-f14327740e3c,,,,,,,,f
fbb795ce-1c36-46cd-bf11-b9bdf1fdb564,,,,,,,,f
0635d7f2-2de5-41cf-a610-b39787bb4e6b,,,,,,,,f
c39badf1-aaad-4ff9-9507-6cc8714785a0,,,,,,,,f
2b60f687-2b5c-4d60-94a9-fa930abc3234,,,,,,,,f
e0a1b53f-13c6-4b8b-83ad-3890627490ee,,,,,,,,f
3f0121a7-b5bc-4616-bed8-a975b90af1a0,,,,,,,,f
57dc705f-23d4-4475-bd27-349ca24201b3,,,,,,,,f
9cb5c7c8-68e7-49a7-94ec-8dbab077f7a8,,,,,,,,f
7e9d747c-28a4-41e7-9331-a57fc986ced0,,,,,,,,f
e6cfb2ac-0c95-4927-81fa-ddc880f34fab,,,,,,,,f
de4edbcf-c455-4838-9eed-6406d4367ebe,,,,,,,,f
516855ff-6088-45e9-b93b-82e794cb6f72,,,,,,,,f
20157ba3-14ae-4853-8da1-8ad92c9320b6,,,,,,,,f
ba4b348e-4f59-4dec-bb11-fc642b2e5809,,,,,,,,f
12dc30c7-93f7-4d5a-93d5-a9c27b2f4f6a,,,,,,,,f
5ae6c5e2-fabe-46b7-83a8-bd11dc9cb04d,,,,,,,,f
